Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:5.1,"urn:cite:hmt:vaimg.VA062RN-0063@0.093,0.5071,0.48,0.0977"
urn:cts:greekLit:tlg0012.tlg001.msA:5.2,"urn:cite:hmt:vaimg.VA062RN-0063@0.182,0.568,0.43,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:5.3,"urn:cite:hmt:vaimg.VA062RN-0063@0.184,0.5845,0.385,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:5.4,"urn:cite:hmt:vaimg.VA062RN-0063@0.179,0.6026,0.434,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:5.5,"urn:cite:hmt:vaimg.VA062RN-0063@0.171,0.6236,0.401,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:5.6,"urn:cite:hmt:vaimg.VA062RN-0063@0.166,0.6431,0.44,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:5.7,"urn:cite:hmt:vaimg.VA062RN-0063@0.176,0.6627,0.419,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:5.8,"urn:cite:hmt:vaimg.VA062RN-0063@0.178,0.6829,0.433,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:5.9,"urn:cite:hmt:vaimg.VA062VN-0564@0.454,0.2231,0.389,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:5.10,"urn:cite:hmt:vaimg.VA062VN-0564@0.459,0.2457,0.343,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:5.11,"urn:cite:hmt:vaimg.VA062VN-0564@0.467,0.2622,0.377,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:5.12,"urn:cite:hmt:vaimg.VA062VN-0564@0.464,0.281,0.384,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:5.13,"urn:cite:hmt:vaimg.VA062VN-0564@0.462,0.2968,0.415,0.0398"
urn:cts:greekLit:tlg0012.tlg001.msA:5.14,"urn:cite:hmt:vaimg.VA062VN-0564@0.462,0.2968,0.415,0.0398"
urn:cts:greekLit:tlg0012.tlg001.msA:5.15,"urn:cite:hmt:vaimg.VA062VN-0564@0.472,0.3358,0.402,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:5.16,"urn:cite:hmt:vaimg.VA062VN-0564@0.468,0.3554,0.402,0.0368"
